Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.108922864318346,0.0847241760555166,-0.123403521783606,0,0,0,3.90118326560917,0.0186236720310462,-3.31789538657199E-07,-1.46573682204449E-06,0.0179160741187244,-8.06514530944488E-06,0.00875282674130433,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.00280634310894718,0.0174176382369257,0.00735669197046057,0,0,0,0.26437001106024,6.29151972289897E-05,2.96411876511088E-09,1.64845302056741E-08,6.2207209100296E-05,1.56454773175247E-07,3.20746276473134E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,left_sus-1,Origin_LFS,Axis_LFS,LFS,prismatic,0.24112,0.018826,0.0185,0,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
LFW,0.015,1.73472347597681E-18,3.46944695195361E-18,0,0,0,0.239316435984071,0.00030040943490763,-7.48206746073194E-37,-1.7790715949144E-38,0.00016815345015262,-1.54101050386111E-36,0.00016815345015262,0,0,0,0,0,0,package://lide/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,0.033301,0.0046744,0.050633,1.5708,-1.5708,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.00281505005012283,0.0179312188717306,0.00735669197046058,0,0,0,0.26437001106024,6.29151972289897E-05,2.96411876510909E-09,-1.64845302056387E-08,6.2207209100296E-05,-1.56454773175214E-07,3.20746276473134E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,right_sus-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.025117,0.054174,0.0185,3.1416,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
RFW,-0.015,0,3.46944695195361E-18,0,0,0,0.239316435984071,0.000300409434907629,-2.41075835715216E-37,9.05650754599917E-37,0.00016815345015262,-1.6940658945086E-21,0.00016815345015262,0,0,0,0,0,0,package://lide/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,0.033299,0.030674,0.050633,1.64,1.5708,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.0023415757137733,0.011605194759345,0.0215324510222362,0,0,0,0.18193357253929,0.000158415198867683,3.54095934938036E-07,-1.52419258301436E-20,0.000187903911280684,-5.30577757365107E-20,0.000106956315729353,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-1,Origin_LBS,Axis_LBS,LBS,prismatic,0.28235,0.22575,0.0185,3.1416,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
RBS,0.00234157571377328,0.0116051947593451,0.0215324510222364,0,0,0,0.18193357253929,0.000158415198867683,3.54095934938048E-07,-1.01503171135808E-22,0.000187903911280684,-1.82990366647899E-20,0.000106956315729353,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.06635,0.20125,0.0185,3.1416,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
fcam,0.000445525090231174,-1.10631679103579E-05,0.00129821973144106,0,0,0,0.0436119950287128,2.357070580464E-05,-1.01813691701127E-09,2.17579681215237E-08,4.29479133591134E-06,-8.85791114048082E-10,2.21058141232446E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-1,Origin_fcam,,fcam,fixed,0.10801,0.012,0.15299,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
bcam,0.000445525343312617,-1.10630004970108E-05,0.0012982197254867,0,0,0,0.0436119949785285,2.35707056099599E-05,-1.01834758014098E-09,2.17579332532655E-08,4.29479078276668E-06,-8.85484503922152E-10,2.21058144654637E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-2,origin_bcam,,bcam,fixed,0.10801,0.019081,0.11771,0,0.7854,-1.5708,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.0135233599422163,0.000461956326444121,-0.0287648857833805,0,0,0,0.0730845705160698,1.95808756903406E-05,-1.0393358977586E-07,-4.28391191160108E-07,2.41250079549543E-05,9.42708084958066E-09,4.14184516050746E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Origin_Lidar,,Lidar,fixed,0.10701,0.19058,0.2245,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
